,before,after
115263,TCASII,tcasii
115264,MESSAGE,messag
115265,'CLR,'clr
115266,OF,OF
115267,CONFLICT,conflict
115268,.,.
115269,','
115270,THIS,thi
115271,WAS,wa
115272,CLRLY,clrli
115273,A,A
115274,RESPONSE,respons
115275,TO,TO
115276,THE,the
115277,CONFLICT,conflict
115278,WITH,with
115279,THE,the
115280,FIRST,first
115281,ACFT,acft
115282,;,;
115283,AND,and
115284,NOT,not
115285,THE,the
115286,SECOND,second
115287,ACFT,acft
115288,.,.
115289,EVEN,even
115290,THOUGH,though
115291,THE,the
115292,TCASII,tcasii
115293,DISPLAYED,display
115294,2,2
115295,RED,red
115296,RA,RA
115297,TARGETS,target
115298,AT,AT
115299,THE,the
115300,SAME,same
115301,TIME,time
115302,;,;
115303,IT,IT
115304,NEVER,never
115305,GAVE,gave
115306,COMMANDS,command
115307,TO,TO
115308,AVOID,avoid
115309,A,A
115310,COLLISION,collis
115311,COURSE,cours
115312,WITH,with
115313,THE,the
115314,SECOND,second
115315,RA,RA
115316,TARGET,target
115317,;,;
115318,OR,OR
115319,THAT,that
115320,WE,WE
115321,WERE,were
115322,'CLR,'clr
115323,OF,OF
115324,(,(
115325,SECOND,second
115326,),)
115327,CONFLICT,conflict
115328,.,.
115329,','
115330,THE,the
115331,CTLR,ctlr
115332,NEVER,never
115333,ADVISED,advis
115334,US,US
115335,OF,OF
115336,THE,the
115337,SECOND,second
115338,ACFT,acft
115339,'S,'S
115340,POS,po
115341,OR,OR
115342,ALT,alt
115343,;,;
115344,AND,and
115345,BY,BY
115346,ISSUING,issu
115347,THE,the
115348,50,50
115349,DEG,deg
115350,TURN,turn
115351,TO,TO
115352,THE,the
115353,R,R
115354,HE,HE
115355,POSITIONED,posit
115356,OUR,our
115357,ACFT,acft
115358,DIRECTLY,directli
115359,BTWN,btwn
115360,2,2
115361,ACFT,acft
115362,THAT,that
115363,WERE,were
115364,CONVERGING,converg
115365,VERTLY,vertli
115366,WITH,with
115367,US,US
115368,IN,IN
115369,THE,the
115370,MIDDLE,middl
115371,.,.
115372,I,I
115373,ALSO,also
115374,BELIEVE,believ
115375,THAT,that
115376,THE,the
115377,TURN,turn
115378,CAUSED,caus
115379,THE,the
115380,TCASII,tcasii
115381,TO,TO
115382,BECOME,becom
115383,DISORIENTED,disori
115384,HORIZLY,horizli
115385,FROM,from
115386,THE,the
115387,2,2
115388,TARGETS,target
115389,.,.
115390,NMAC,nmac
115391,BTWN,btwn
115392,A,A
115393,PIPER,piper
115394,PA30,pa30
115395,;,;
115396,TWIN,twin
115397,COMANCHE,comanch
115398,;,;
115399,DSNDING,dsnding
115400,TO,TO
115401,5000,5000
115402,FT,FT
115403,AND,and
115404,A,A
115405,COMMUTER,commut
115406,JET,jet
115407,MAKING,make
115408,A,A
115409,CLBING,clbing
115410,TURN,turn
115411,.,.
115412,BOTH,both
115413,ACFT,acft
115414,TOOK,took
115415,EVASIVE,evas
115416,ACTION,action
115417,AND,and
115418,APCH,apch
115419,CTLR,ctlr
115420,ISSUED,issu
115421,ADVISORY,advisori
115422,TO,TO
115423,THE,the
115424,RPTING,rpting
115425,PLT,plt
115426,OF,OF
115427,THE,the
115428,PA30,pa30
115429,.,.
115430,IN,IN
115431,DSCNT,dscnt
115432,TO,TO
115433,5000,5000
115434,FT,FT
115435,;,;
115436,BDL,bdl
115437,APCH,apch
115438,CALLED,call
115439,TFC,tfc
115440,FOR,for
115441,US,US
115442,AT,AT
115443,11,11
115444,O'CLOCK,o'clock
115445,POS,po
115446,.,.
115447,I,I
115448,SPOTTED,spot
115449,TFC,tfc
115450,AND,and
115451,ADVISED,advis
115452,ATC,atc
115453,THAT,that
115454,IT,IT
115455,WAS,wa
115456,IN,IN
115457,SIGHT,sight
115458,.,.
115459,AS,AS
115460,I,I
115461,CONTINUED,continu
115462,DSCNT,dscnt
115463,THROUGH,through
115464,5200,5200
115465,FT,FT
115466,;,;
115467,COMMUTER,commut
115468,JET,jet
115469,TFC,tfc
115470,BEGAN,began
115471,A,A
115472,R,R
115473,CLBING,clbing
115474,TURN,turn
115475,AND,and
115476,PROCEEDED,proceed
115477,TOWARD,toward
115478,US,US
115479,.,.
115480,HE,HE
115481,WAS,wa
115482,ON,ON
115483,A,A
115484,COLLISION,collis
115485,COURSE,cours
115486,WITH,with
115487,OUR,our
115488,ACFT,acft
115489,AND,and
115490,I,I
115491,WAS,wa
115492,REQUIRED,requir
115493,TO,TO
115494,TAKE,take
115495,EVASIVE,evas
115496,ACTION,action
115497,.,.
115498,I,I
115499,BEGAN,began
115500,AN,AN
115501,IMMEDIATE,immedi
115502,L,L
115503,DSNDING,dsnding
115504,TURN,turn
115505,TOWARD,toward
115506,THE,the
115507,N,N
115508,AND,and
115509,AT,AT
115510,THE,the
115511,LAST,last
115512,MIN,min
115513,THE,the
115514,JET,jet
115515,EXECUTED,execut
115516,A,A
115517,L,L
115518,TURN,turn
115519,AND,and
115520,INCREASED,increas
115521,HIS,hi
115522,RATE,rate
115523,OF,OF
115524,CLB,clb
115525,.,.
115526,LOSS,loss
115527,OF,OF
115528,IFR,ifr
115529,SEPARATION,separ
115530,OCCURRED,occur
115531,BTWN,btwn
115532,BOTH,both
115533,ACFT,acft
115534,.,.
115535,I,I
115536,RPTED,rpted
115537,'NEAR,'near
115538,MISS,miss
115539,','
115540,TO,TO
115541,BDL,bdl
115542,APCH,apch
115543,AND,and
115544,ALSO,also
115545,TOLD,told
115546,THEM,them
115547,THAT,that
115548,I,I
115549,WAS,wa
115550,AT,AT
115551,4700,4700
115552,FT,FT
115553,MSL,msl
115554,DUE,due
115555,TO,TO
115556,MY,MY
115557,EVASIVE,evas
115558,ACTION,action
115559,.,.
115560,CTLR,ctlr
115561,SAID,said
115562,THAT,that
115563,HE,HE
115564,WAS,wa
115565,NOT,not
115566,'WORKING,'work
115567,','
115568,THAT,that
115569,JET,jet
115570,ACFT,acft
115571,.,.
115572,FLT,flt
115573,CONTINUED,continu
115574,WITHOUT,without
115575,INCIDENT,incid
115576,.,.
115577,UPON,upon
115578,ARR,arr
115579,INTO,into
115580,DEST,dest
115581,;,;
115582,ORH,orh
115583,;,;
115584,I,I
115585,CALLED,call
115586,BDL,bdl
115587,ATC,atc
115588,.,.
115589,CTLR,ctlr
115590,SAID,said
115591,HE,HE
115592,WAS,wa
115593,NOT,not
115594,WORKING,work
115595,THE,the
115596,JET,jet
115597,AND,and
115598,HE,HE
115599,WAS,wa
115600,UNAWARE,unawar
115601,OF,OF
115602,WHAT,what
115603,MAY,may
115604,HAVE,have
115605,CAUSED,caus
115606,THE,the
115607,ACFT,acft
115608,TO,TO
115609,COMMENCE,commenc
115610,A,A
115611,CLBING,clbing
115612,TURN,turn
115613,INTO,into
115614,OUR,our
115615,FLT,flt
115616,PATH,path
115617,.,.
115618,A,A
115619,B757,b757
115620,FO,FO
115621,RPTED,rpted
115622,A,A
115623,TFC,tfc
115624,CONFLICT,conflict
115625,DURING,dure
115626,DSCNT,dscnt
115627,FROM,from
115628,A,A
115629,HOLD,hold
115630,IN,IN
115631,THE,the
115632,VICINITY,vicin
115633,OF,OF
115634,PVD,pvd
115635,.,.
115636,BOS,bo
115637,APCH,apch
115638,VECTORED,vector
115639,US,US
115640,;,;
115641,ACR,acr
115642,1ABC,1abc
115643,;,;
115644,OUT,out
115645,OF,OF
115646,HOLDING,hold
115647,AND,and
115648,DSNDED,dsnded
115649,US,US
115650,TO,TO
115651,11000,11000
115652,FT.,ft.
115653,ANOTHER,anoth
115654,ACR,acr
115655,;,;
115656,ABC,abc
115657,;,;
115658,WAS,wa
115659,ALSO,also
115660,BEING,be
115661,VECTORED,vector
115662,AT,AT
115663,11000,11000
115664,FT.,ft.
115665,TCASII,tcasii
115666,ALERTED,alert
115667,US,US
115668,OF,OF
115669,THE,the
115670,CONFLICT,conflict
115671,AND,and
115672,WE,WE
115673,CLBED,clbed
115674,IMMEDIATELY,immedi
115675,.,.
115676,THE,the
115677,CTLR,ctlr
115678,QUERIED,queri
115679,US,US
115680,ON,ON
115681,OUR,our
115682,ALT,alt
115683,AND,and
115684,INSTRUCTED,instruct
115685,US,US
115686,TO,TO
115687,CLB,clb
115688,BACK,back
115689,TO,TO
115690,13000,13000
115691,FT,FT
115692,.,.
115693,THE,the
115694,PROB,prob
115695,AROSE,aros
115696,BECAUSE,becaus
115697,OF,OF
115698,CTLR,ctlr
115699,ERROR,error
115700,.,.
115701,CONTRIBUTING,contribut
115702,FACTORS,factor
115703,INCLUDE,includ
115704,:,:
115705,SIMILAR,similar
115706,CALL,call
115707,SIGNS,sign
115708,;,;
115709,WX,WX
115710,AND,and
115711,HOLDING,hold
115712,PATTERN,pattern
115713,.,.
115714,CONFLICT,conflict
115715,WAS,wa
115716,DISCOVERED,discov
115717,VIA,via
115718,TCASII,tcasii
115719,(,(
115720,GREAT,great
115721,TOOL,tool
115722,),)
115723,.,.
115724,WE,WE
115725,WERE,were
115726,AWARE,awar
115727,OF,OF
115728,THE,the
115729,OTHER,other
115730,ACR,acr
115731,;,;
115732,ABC,abc
115733,;,;
115734,AND,and
115735,VERY,veri
115736,CONSCIOUS,consciou
115737,OF,OF
115738,CTLR,ctlr
115739,'S,'S
115740,INSTRUCTIONS,instruct
115741,.,.
115742,HOLDINGS,hold
115743,AND,and
115744,ALTS,alt
115745,WERE,were
115746,READ,read
115747,BACK,back
115748,CLRLY,clrli
115749,AND,and
115750,DOUBLE-POINTING,double-point
115751,AT,AT
115752,THE,the
115753,NEW,new
115754,MODE,mode
115755,CTL,ctl
115756,PANEL,panel
115757,ALT,alt
115758,WAS,wa
115759,ACCOMPLISHED,accomplish
115760,.,.
115761,A,A
115762,HAWKER,hawker
115763,800,800
115764,CPR,cpr
115765,FLC,flc
115766,HAS,ha
115767,AN,AN
115768,NMAC,nmac
115769,WITH,with
115770,A,A
115771,C182,c182
115772,ON,ON
115773,A,A
115774,2,2
115775,1/2,1/2
115776,NM,NM
115777,FINAL,final
115778,AND,and
115779,NOTED,note
115780,THAT,that
115781,THE,the
115782,CTLR,ctlr
115783,WAS,wa
115784,NOT,not
115785,ABLE,abl
115786,TO,TO
115787,MAINTAIN,maintain
115788,SEPARATION,separ
115789,BTWN,btwn
115790,ACFT,acft
115791,IN,IN
115792,THE,the
115793,AIR,air
115794,AND,and
115795,ON,ON
115796,THE,the
115797,GND,gnd
115798,AT,AT
115799,HYA,hya
115800,;,;
115801,MA,MA
115802,.,.
115803,AFTER,after
115804,DEP,dep
115805,YNG,yng
115806,FOR,for
115807,HYA,hya
115808,.,.
115809,WE,WE
115810,WERE,were
115811,ARRIVING,arriv
115812,AT,AT
115813,HYA,hya
115814,ON,ON
115815,A,A
115816,2,2
115817,1/2,1/2
115818,MI,MI
115819,FINAL,final
115820,AFTER,after
115821,BOSTON,boston
115822,HANDED,hand
115823,US,US
115824,OFF,off
115825,TO,TO
115826,HYA,hya
115827,TWR,twr
115828,AND,and
115829,WE,WE
115830,WERE,were
115831,CLR,clr
115832,TO,TO
115833,LAND,land
115834,;,;
115835,WHEN,when
115836,SUDDENLY,suddenli
115837,TCASII,tcasii
115838,WENT,went
115839,OFF,off
115840,AND,and
115841,TOLD,told
115842,US,US
115843,TO,TO
115844,CLB,clb
115845,;,;
115846,FOLLOWED,follow
115847,BY,BY
115848,A,A
115849,RED,red
115850,ALERT,alert
115851,ON,ON
115852,SCREEN,screen
115853,.,.
115854,WE,WE
115855,JUST,just
115856,STARTED,start
115857,TO,TO
115858,CLB,clb
115859,WHEN,when
115860,WE,WE
115861,SPOTTED,spot
115862,A,A
115863,C182,c182
115864,(,(
115865,GUESS,guess
115866,),)
115867,IT,IT
115868,WAS,wa
115869,JUST,just
115870,100,100
115871,FT,FT
115872,AWAY,away
115873,AND,and
115874,100,100
115875,FT,FT
115876,BELOW,below
115877,.,.
115878,WE,WE
115879,CALLED,call
115880,THE,the
115881,TWR,twr
115882,--,--
115883,THERE,there
115884,WAS,wa
115885,NO,NO
115886,RESPONSE,respons
115887,.,.
115888,AFTER,after
115889,LNDG,lndg
115890,AND,and
115891,TURNING,turn
115892,ON,ON
115893,THE,the
115894,TXWY,txwi
115895,;,;
115896,THE,the
115897,TWR,twr
115898,TOLD,told
115899,US,US
115900,TO,TO
115901,TAXI,taxi
115902,TO,TO
115903,S,S
115904,RAMP,ramp
115905,.,.
115906,WHILE,while
115907,TAXIING,taxi
115908,;,;
115909,WE,WE
115910,NOTICED,notic
115911,ON,ON
115912,THE,the
115913,TXWY,txwi
115914,AHEAD,ahead
115915,OF,OF
115916,US,US
115917,THAT,that
115918,THERE,there
115919,WERE,were
115920,2,2
115921,AIRPLANES,airplan
115922,ON,ON
115923,A,A
115924,TXWY,txwi
115925,NEAR,near
115926,THE,the
115927,ACTIVE,activ
115928,RWY,rwi
115929,WITH,with
115930,1,1
115931,AIRPLANE,airplan
115932,TAIL,tail
115933,ON,ON
115934,THE,the
115935,RWY,rwi
115936,WHILE,while
115937,THE,the
115938,TWR,twr
115939,WAS,wa
115940,CLRING,clring
115941,ANOTHER,anoth
115942,COMMUTER,commut
115943,TO,TO
115944,LAND,land
115945,.,.
115946,(,(
115947,NOTE,note
115948,:,:
115949,WHEN,when
115950,WE,WE
115951,HAD,had
115952,AN,AN
115953,NMAC,nmac
115954,;,;
115955,ACFT,acft
115956,BEHIND,behind
115957,US,US
115958,ALSO,also
115959,RPTED,rpted
115960,HE,HE
115961,HAD,had
115962,AN,AN
115963,NMAC,nmac
115964,WITH,with
115965,THE,the
115966,SAME,same
115967,PLANE,plane
115968,AND,and
115969,THERE,there
115970,WAS,wa
115971,NO,NO
115972,RESPONSE,respons
115973,FROM,from
115974,TWR,twr
115975,.,.
115976,),)
115977,THE,the
115978,TWR,twr
115979,CTLR,ctlr
115980,WAS,wa
115981,WORKING,work
115982,GND,gnd
115983,AND,and
115984,TWR,twr
115985,AT,AT
115986,THE,the
115987,SAME,same
115988,TIME,time
115989,.,.
115990,IT,IT
115991,WAS,wa
115992,A,A
115993,VERY,veri
115994,GOOD,good
115995,VFR,vfr
115996,DAY,day
115997,AND,and
115998,THE,the
115999,TFC,tfc
116000,WE,WE
116001,HAD,had
116002,ON,ON
116003,TCASII,tcasii
116004,WAS,wa
116005,HVY,hvi
116006,AND,and
116007,MORE,more
116008,THAN,than
116009,1,1
116010,CTLR,ctlr
116011,COULD,could
116012,HANDLE,handl
116013,.,.
116014,ZBW,zbw
116015,CTLR,ctlr
116016,INCORRECTLY,incorrectli
116017,JUDGES,judg
116018,ACFT,acft
116019,PERFORMANCE,perform
116020,WHEN,when
116021,IN,IN
116022,WX,WX
116023,;,;
116024,NOT,not
116025,ALLOWING,allow
116026,SUFFICIENT,suffici
116027,LATERAL,later
116028,SEPARATION,separ
116029,BTWN,btwn
116030,A319,a319
116031,DSNDING,dsnding
116032,FROM,from
116033,HOLDING,hold
116034,AND,and
116035,A,A
116036,B727,b727
116037,IN,IN
116038,A,A
116039,HOLDING,hold
116040,PATTERN,pattern
116041,1000,1000
116042,FT,FT
116043,BELOW,below
116044,.,.
116045,LARGE,larg
116046,STACK,stack
116047,OF,OF
116048,HOLDING,hold
116049,ACFT,acft
116050,FOR,for
116051,BOSTON,boston
116052,.,.
116053,ACFT,acft
116054,WERE,were
116055,BEING,be
116056,STEPPED,step
116057,DOWN,down
116058,.,.
116059,ACFT,acft
116060,X,X
116061,AT,AT
116062,17000,17000
116063,FT,FT
116064,ASSIGNED,assign
116065,16000,16000
116066,FT.,ft.
116067,ACFT,acft
116068,READ,read
116069,BACK,back
116070,14000,14000
116071,FT,FT
116072,.,.
116073,I,I
116074,BELIEVED,believ
116075,HE,HE
116076,REMEMBERED,rememb
116077,HEARING,hear
116078,THE,the
116079,NUMBER,number
116080,FOURTEEN,fourteen
116081,IN,IN
116082,HIS,hi
116083,CALL,call
116084,SIGN,sign
116085,.,.
116086,THE,the
116087,ACFT,acft
116088,DSNDED,dsnded
116089,TO,TO
116090,14000,14000
116091,FT,FT
116092,WITHOUT,without
116093,EVENT,event
116094,.,.
116095,UPON,upon
116096,NOTICING,notic
116097,THIS,thi
116098,I,I
116099,VECTORED,vector
116100,ACFT,acft
116101,N,N
116102,AWAY,away
116103,FROM,from
116104,CONFLICTING,conflict
116105,ACFT,acft
116106,AT,AT
116107,14000,14000
116108,FT,FT
116109,.,.
116110,I,I
116111,THEN,then
116112,DECIDED,decid
116113,TO,TO
116114,SEND,send
116115,ACR,acr
116116,X,X
116117,INTO,into
116118,BOS,bo
116119,AS,AS
116120,THE,the
116121,NEXT,next
116122,ARR,arr
116123,.,.
116124,ACFT,acft
116125,WAS,wa
116126,CLRED,clred
116127,DIRECT,direct
116128,PVD,pvd
116129,.,.
116130,MOMENTS,moment
116131,LATER,later
116132,I,I
116133,DSNDED,dsnded
116134,HIM,him
116135,TO,TO
116136,11000,11000
116137,FT.,ft.
116138,DUE,due
116139,TO,TO
116140,THE,the
116141,STEEP,steep
116142,TURN,turn
116143,AND,and
116144,REDUCED,reduc
116145,SPD,spd
116146,ACFT,acft
116147,CAME,came
116148,INTO,into
116149,CONFLICT,conflict
116150,WITH,with
116151,AN,AN
116152,ACFT,acft
116153,(,(
116154,Y,Y
116155,),)
116156,HOLDING,hold
116157,AT,AT
116158,13000,13000
116159,FT,FT
116160,.,.
116161,B737,b737
116162,FLC,flc
116163,TAKE,take
116164,EVASIVE,evas
116165,ACTION,action
116166,AFTER,after
116167,OBSERVING,observ
116168,ANOTHER,anoth
116169,ACFT,acft
116170,COMING,come
116171,TOWARD,toward
116172,THEM,them
116173,DURING,dure
116174,CLBOUT,clbout
116175,WHICH,which
116176,HAD,had
116177,BEEN,been
116178,GIVEN,given
116179,BY,BY
116180,ATC,atc
116181,AS,AS
116182,A,A
116183,PRIMARY,primari
116184,TARGET,target
116185,WITH,with
116186,UNKNOWN,unknown
116187,ALT,alt
116188,READOUT,readout
116189,OR,OR
116190,CONTACT,contact
116191,WITH,with
116192,APCH,apch
116193,CTL,ctl
116194,IN,IN
116195,CLASS,class
116196,C,C
116197,AIRSPACE,airspac
116198,.,.
116199,I,I
116200,WAS,wa
116201,PROVIDING,provid
116202,OJT,ojt
116203,TRAINING,train
116204,TO,TO
116205,A,A
116206,RECENTLY,recent
116207,XFERRED,xfer
116208,CTLR,ctlr
116209,ON,ON
116210,APCH/DEP,apch/dep
116211,CTL,ctl
116212,.,.
116213,THE,the
116214,TRAINEE,traine
116215,ALSO,also
116216,HAD,had
116217,APPROX,approx
116218,18,18
116219,YRS,yr
116220,ATC,atc
116221,EXPERIENCE,experi
116222,.,.
116223,ACR,acr
116224,X,X
116225,B727,b727
116226,DEPARTED,depart
116227,RWY,rwi
116228,29,29
116229,;,;
116230,RWY,rwi
116231,HDG,hdg
116232,;,;
116233,CLBING,clbing
116234,TO,TO
116235,3000,3000
116236,FT.,ft.
116237,ACR,acr
116238,CHKED,chked
116239,IN,IN
116240,'OUT,'out
116241,OF,OF
116242,2000,2000
116243,FT,FT
116244,FOR,for
116245,3000,3000
116246,FT.,ft.
116247,','
116248,HE,HE
116249,WAS,wa
116250,ASSIGNED,assign
116251,8000,8000
116252,FT,FT
116253,AND,and
116254,TURNED,turn
116255,DIRECT,direct
116256,MANCHESTER,manchest
116257,(,(
116258,MHT,mht
116259,--,--
116260,THE,the
116261,DEST,dest
116262,--,--
116263,A,A
116264,VERY,veri
116265,SHORT,short
116266,FLT,flt
116267,),)
116268,APPROX,approx
116269,240,240
116270,DEG,deg
116271,HDG,hdg
116272,.,.
116273,I,I
116274,HAD,had
116275,BEEN,been
116276,WATCHING,watch
116277,A,A
116278,PRIMARY,primari
116279,TARGET,target
116280,(,(
116281,NO,NO
116282,XPONDER,xponder
116283,),)
116284,FOR,for
116285,A,A
116286,FEW,few
116287,MI,MI
116288,THAT,that
116289,WAS,wa
116290,NOW,now
116291,6,6
116292,NM,NM
116293,DUE,due
116294,W,W
116295,OF,OF
116296,PWM,pwm
116297,EBOUND,ebound
116298,.,.
116299,I,I
116300,INSTRUCTED,instruct
116301,THE,the
116302,TRAINEE,traine
116303,TO,TO
116304,'ISSUE,'issu
116305,THE,the
116306,TFC,tfc
116307,.,.
116308,','
116309,THE,the
116310,TFC,tfc
116311,WAS,wa
116312,ISSUED,issu
116313,WITH,with
116314,ACR,acr
116315,X,X
116316,INSTRUCTED,instruct
116317,TO,TO
116318,'STAY,'stay
116319,ON,ON
116320,RWY,rwi
116321,HDG,hdg
116322,.,.
116323,','
116324,THE,the
116325,PLT,plt
116326,RESPONDED,respond
116327,THAT,that
116328,THEY,they
116329,WERE,were
116330,HDG,hdg
116331,270,270
116332,DEGS,deg
116333,AND,and
116334,ASKED,ask
116335,IF,IF
116336,THAT,that
116337,WOULD,would
116338,BE,BE
116339,OK.,ok.
116340,AT,AT
116341,FIRST,first
116342,THE,the
116343,TRAINEE,traine
116344,SAID,said
116345,270,270
116346,DEGS,deg
116347,WOULD,would
116348,AVOID,avoid
116349,THE,the
116350,TFC,tfc
116351,;,;
116352,THEN,then
116353,REALIZED,realiz
116354,IT,IT
116355,WOULD,would
116356,BE,BE
116357,TOO,too
116358,CLOSE,close
116359,AND,and
116360,TURNED,turn
116361,ACR,acr
116362,BACK,back
116363,TO,TO
116364,290,290
116365,DEGS,deg
116366,;,;
116367,THEN,then
116368,RPTED,rpted
116369,THE,the
116370,TFC,tfc
116371,IN,IN
116372,SIGHT,sight
116373,LESS,less
116374,THAN,than
116375,1/2,1/2
116376,MI,MI
116377,'HDG,'hdg
116378,RIGHT,right
116379,AT,AT
116380,US,US
116381,AT,AT
116382,OUR,our
116383,ALT,alt
116384,(,(
116385,4000,4000
116386,FT,FT
116387,),)
116388,.,.
116389,','
116390,THE,the
116391,PLT,plt
116392,QUESTIONED,question
116393,HOW,how
116394,CLOSE,close
116395,THE,the
116396,TFC,tfc
116397,CAME,came
116398,TO,TO
116399,THEM,them
116400,AND,and
116401,ASKED,ask
116402,WHAT,what
116403,ALT,alt
116404,WE,WE
116405,SHOWED,show
116406,ON,ON
116407,THE,the
116408,TFC,tfc
116409,.,.
116410,WE,WE
116411,TOLD,told
116412,HIM,him
116413,THERE,there
116414,WAS,wa
116415,NO,NO
116416,XPONDER,xponder
116417,;,;
116418,NO,NO
116419,ALT,alt
116420,.,.
116421,WE,WE
116422,TRACKED,track
116423,THE,the
116424,PRIMARY,primari
116425,TARGET,target
116426,TO,TO
116427,A,A
116428,SMALL,small
116429,ARPT,arpt
116430,IN,IN
116431,NORTHERN,northern
116432,MAINE,main
116433,.,.
116434,BEFORE,befor
116435,LNDG,lndg
116436,;,;
116437,THE,the
116438,PLT,plt
116439,ASKED,ask
116440,BANGOR,bangor
116441,APCH,apch
116442,FOR,for
116443,A,A
116444,XPONDER,xponder
116445,CHK,chk
116446,(,(
116447,HIS,hi
116448,FIRST,first
116449,CONTACT,contact
116450,WITH,with
116451,ATC,atc
116452,SINCE,sinc
116453,DEPARTING,depart
116454,CONNECTICUT,connecticut
116455,),)
116456,.,.
116457,THE,the
116458,PLT,plt
116459,CALLED,call
116460,US,US
116461,ON,ON
116462,THE,the
116463,PHONE,phone
116464,AND,and
116465,ADVISED,advis
116466,THAT,that
116467,HE,HE
116468,PASSED,pass
116469,OVER,over
116470,PWM,pwm
116471,AT,AT
116472,5500,5500
116473,FT,FT
116474,(,(
116475,HE,HE
116476,CHANGED,chang
116477,HIS,hi
116478,MIND,mind
116479,WHEN,when
116480,TOLD,told
116481,THAT,that
116482,'3,'3
116483,AIRLINE,airlin
116484,PLTS,plt
116485,WILL,will
116486,TESTIFY,testifi
116487,YOU,you
116488,WERE,were
116489,AT,AT
116490,4000,4000
116491,FT,FT
116492,','
116493,),)
116494,.,.
116495,HE,HE
116496,FURTHER,further
116497,SAID,said
116498,HE,HE
116499,WAS,wa
116500,MONITORING,monitor
116501,THE,the
116502,ATC,atc
116503,FREQ,freq
116504,AND,and
116505,'THOUGHT,'thought
116506,YOU,you
116507,MIGHT,might
116508,BE,BE
116509,TALKING,talk
116510,ABOUT,about
116511,ME,ME
116512,AFTER,after
116513,I,I
116514,SAW,saw
116515,THE,the
116516,B727,b727
116517,GO,GO
116518,BY,BY
116519,.,.
116520,','
116521,WHY,whi
116522,THE,the
116523,PLT,plt
116524,MONITORED,monitor
116525,THE,the
116526,FREQ,freq
116527,AND,and
116528,NEVER,never
116529,CALLED,call
116530,US,US
116531,IS,IS
116532,BEYOND,beyond
116533,ME,ME
116534,.,.
116535,WE,WE
116536,COULD,could
116537,HAVE,have
116538,AVOIDED,avoid
116539,AN,AN
116540,NMAC,nmac
116541,AND,and
116542,MAYBE,mayb
116543,WORSE,wors
116544,.,.
116545,IF,IF
116546,THE,the
116547,ATC,atc
116548,SVC,svc
116549,IS,IS
116550,THERE,there
116551,;,;
116552,USE,use
116553,IT,IT
116554,!,!
116555,IT,IT
116556,'S,'S
116557,LESS,less
116558,WORKLOAD,workload
116559,ON,ON
116560,ATC,atc
116561,TO,TO
116562,TRACK,track
116563,AN,AN
116564,ACFT,acft
116565,AND,and
116566,GIVE,give
116567,AN,AN
116568,ALTIMETER,altimet
116569,THAN,than
116570,CONSTANTLY,constantli
116571,BE,BE
116572,ISSUING,issu
116573,TFC,tfc
116574,'TYPE,'type
116575,AND,and
116576,ALT,alt
116577,UNKNOWN,unknown
116578,.,.
116579,','
116580,I,I
116581,SPOKE,spoke
116582,WITH,with
116583,THE,the
116584,ACR,acr
116585,PLT,plt
116586,ON,ON
116587,THE,the
116588,PHONE,phone
116589,AND,and
116590,TOLD,told
116591,HIM,him
116592,THE,the
116593,PRIMARY,primari
116594,TARGET,target
116595,WAS,wa
116596,IN,IN
116597,AN,AN
116598,AREA,area
116599,WHERE,where
116600,THE,the
116601,ONLY,onli
116602,ALT,alt
116603,HE,HE
116604,COULD,could
116605,BE,BE
116606,AT,AT
116607,;,;
116608,AND,and
116609,BE,BE
116610,LEGAL,legal
116611,;,;
116612,WAS,wa
116613,1500,1500
116614,FT,FT
116615,AND,and
116616,BELOW,below
116617,;,;
116618,BUT,but
116619,I,I
116620,HAD,had
116621,THE,the
116622,TRAINEE,traine
116623,ISSUE,issu
116624,THE,the
116625,TFC,tfc
116626,ANYWAY,anyway
116627,'BECAUSE,'becaus
116628,YOU,you
116629,NEVER,never
116630,KNOW,know
116631,.,.
116632,','
116633,MY,MY
